#: table_doi: 10.17182/hepdata.78697.v2/t16
#: name: Table 16
#: description: Two-dimensional distributions of $x$-$y$ positions of vertices observed in the data passing the vertex pre-selection and satisfying all signal region event-level requirements.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV x [mm]','DV y [mm]','Entries'
-114.0,-218.0,2.0
-110.0,-218.0,1.0
-106.0,-218.0,3.0
-98.0,-218.0,1.0
-94.0,-218.0,4.0
-90.0,-218.0,2.0
-86.0,-218.0,1.0
-82.0,-218.0,1.0
-78.0,-218.0,1.0
-58.0,-218.0,1.0
-50.0,-218.0,2.0
-42.0,-218.0,2.0
-38.0,-218.0,3.0
-34.0,-218.0,2.0
-30.0,-218.0,3.0
-26.0,-218.0,3.0
-22.0,-218.0,2.0
-18.0,-218.0,2.0
-14.0,-218.0,2.0
-6.0,-218.0,2.0
2.0,-218.0,1.0
10.0,-218.0,5.0
14.0,-218.0,1.0
18.0,-218.0,2.0
26.0,-218.0,4.0
30.0,-218.0,2.0
34.0,-218.0,4.0
38.0,-218.0,1.0
42.0,-218.0,4.0
50.0,-218.0,1.0
54.0,-218.0,2.0
58.0,-218.0,1.0
78.0,-218.0,2.0
82.0,-218.0,4.0
86.0,-218.0,1.0
94.0,-218.0,1.0
98.0,-218.0,2.0
102.0,-218.0,2.0
106.0,-218.0,1.0
110.0,-218.0,2.0
114.0,-218.0,1.0
118.0,-218.0,2.0
122.0,-218.0,4.0
126.0,-218.0,1.0
130.0,-218.0,1.0
134.0,-218.0,1.0
146.0,-218.0,3.0
154.0,-218.0,1.0
158.0,-218.0,2.0
162.0,-218.0,1.0
166.0,-218.0,1.0
-170.0,-214.0,1.0
-166.0,-214.0,1.0
-162.0,-214.0,1.0
-150.0,-214.0,2.0
-138.0,-214.0,2.0
-134.0,-214.0,1.0
-130.0,-214.0,2.0
-126.0,-214.0,1.0
-122.0,-214.0,2.0
-118.0,-214.0,1.0
-114.0,-214.0,2.0
-110.0,-214.0,3.0
-70.0,-214.0,2.0
-66.0,-214.0,1.0
-62.0,-214.0,4.0
-58.0,-214.0,2.0
-54.0,-214.0,2.0
-50.0,-214.0,1.0
-46.0,-214.0,3.0
-42.0,-214.0,4.0
-38.0,-214.0,2.0
-34.0,-214.0,1.0
-30.0,-214.0,1.0
-26.0,-214.0,1.0
-22.0,-214.0,1.0
-18.0,-214.0,1.0
14.0,-214.0,1.0
22.0,-214.0,2.0
26.0,-214.0,5.0
30.0,-214.0,2.0
34.0,-214.0,1.0
42.0,-214.0,2.0
50.0,-214.0,4.0
54.0,-214.0,3.0
58.0,-214.0,1.0
62.0,-214.0,3.0
86.0,-214.0,2.0
102.0,-214.0,2.0
106.0,-214.0,1.0
110.0,-214.0,1.0
114.0,-214.0,2.0
118.0,-214.0,3.0
122.0,-214.0,1.0
130.0,-214.0,2.0
134.0,-214.0,1.0
138.0,-214.0,1.0
154.0,-214.0,4.0
158.0,-214.0,1.0
162.0,-214.0,1.0
166.0,-214.0,2.0
174.0,-214.0,2.0
-174.0,-210.0,4.0
-166.0,-210.0,3.0
-158.0,-210.0,1.0
-146.0,-210.0,1.0
-142.0,-210.0,1.0
-138.0,-210.0,1.0
-134.0,-210.0,3.0
-126.0,-210.0,3.0
-122.0,-210.0,3.0
-118.0,-210.0,2.0
-110.0,-210.0,1.0
-98.0,-210.0,1.0
-82.0,-210.0,1.0
-78.0,-210.0,1.0
-74.0,-210.0,3.0
-70.0,-210.0,5.0
-66.0,-210.0,4.0
-62.0,-210.0,4.0
-58.0,-210.0,2.0
-54.0,-210.0,1.0
-50.0,-210.0,1.0
-46.0,-210.0,3.0
-42.0,-210.0,5.0
-38.0,-210.0,2.0
-34.0,-210.0,4.0
-30.0,-210.0,2.0
-26.0,-210.0,1.0
22.0,-210.0,2.0
30.0,-210.0,5.0
34.0,-210.0,1.0
38.0,-210.0,9.0
42.0,-210.0,2.0
46.0,-210.0,2.0
50.0,-210.0,1.0
54.0,-210.0,4.0
58.0,-210.0,3.0
66.0,-210.0,2.0
70.0,-210.0,1.0
74.0,-210.0,3.0
94.0,-210.0,1.0
98.0,-210.0,1.0
102.0,-210.0,2.0
106.0,-210.0,2.0
110.0,-210.0,1.0
114.0,-210.0,1.0
118.0,-210.0,2.0
122.0,-210.0,1.0
126.0,-210.0,2.0
130.0,-210.0,1.0
134.0,-210.0,1.0
142.0,-210.0,1.0
146.0,-210.0,1.0
158.0,-210.0,3.0
162.0,-210.0,2.0
166.0,-210.0,1.0
170.0,-210.0,2.0
174.0,-210.0,2.0
178.0,-210.0,2.0
-178.0,-206.0,1.0
-174.0,-206.0,2.0
-170.0,-206.0,1.0
-166.0,-206.0,1.0
-162.0,-206.0,1.0
-146.0,-206.0,1.0
-138.0,-206.0,2.0
-130.0,-206.0,1.0
-126.0,-206.0,1.0
-122.0,-206.0,1.0
-118.0,-206.0,1.0
-114.0,-206.0,2.0
-110.0,-206.0,1.0
-106.0,-206.0,1.0
-102.0,-206.0,1.0
-94.0,-206.0,1.0
-86.0,-206.0,3.0
-82.0,-206.0,2.0
-78.0,-206.0,3.0
