#: table_doi: 10.17182/hepdata.137762.v1/t7
#: name: yields_trackless_SR_expected_ewk
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the Trackless jet SR for expected signal events in the electroweak pair production model
#: data_file: yields_trackless_sr_expected_ewk.yaml
#: keyword observables: N
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Expected Signal Events
18.5,18.0,19.0,35.791,31.701,39.881,0.10985
18.5,18.0,19.0,45.057,39.881,50.233,0.16753
18.5,18.0,19.0,56.783500000000004,50.233,63.334,0.28868
18.5,18.0,19.0,71.62450000000001,63.334,79.915,0.53985
18.5,18.0,19.0,89.958,79.916,100.0,0.88933
19.5,19.0,20.0,28.469,25.237,31.701,0.031733
19.5,19.0,20.0,35.791,31.701,39.881,0.025952
19.5,19.0,20.0,45.057,39.881,50.233,0.15716
19.5,19.0,20.0,56.783500000000004,50.233,63.334,0.171
19.5,19.0,20.0,71.62450000000001,63.334,79.915,0.55735
19.5,19.0,20.0,89.958,79.916,100.0,0.76056
20.5,20.0,21.0,35.791,31.701,39.881,0.083895
20.5,20.0,21.0,45.057,39.881,50.233,0.063465
20.5,20.0,21.0,71.62450000000001,63.334,79.915,0.28451
20.5,20.0,21.0,89.958,79.916,100.0,0.63396
21.5,21.0,22.0,18.112499999999997,16.095,20.13,0.041948
21.5,21.0,22.0,35.791,31.701,39.881,0.031733
21.5,21.0,22.0,56.783500000000004,50.233,63.334,0.11563
21.5,21.0,22.0,71.62450000000001,63.334,79.915,0.23126
21.5,21.0,22.0,89.958,79.916,100.0,0.077855
22.5,22.0,23.0,56.783500000000004,50.233,63.334,0.077855
22.5,22.0,23.0,71.62450000000001,63.334,79.915,0.031733
22.5,22.0,23.0,89.958,79.916,100.0,0.16149
23.5,23.0,24.0,35.791,31.701,39.881,0.031733
23.5,23.0,24.0,71.62450000000001,63.334,79.915,0.063465
23.5,23.0,24.0,89.958,79.916,100.0,0.25143
24.5,24.0,25.0,56.783500000000004,50.233,63.334,0.031733
24.5,24.0,25.0,71.62450000000001,63.334,79.915,0.15105
