#: table_doi: 10.17182/hepdata.78697.v2/t5
#: name: Table 5
#: description: Two-dimensional distribution of $m_{\mathrm{DV}}$ and track multiplicity for DVs in data events and events of a $R$-hadron signal sample with $m_{\tilde{g}} = 1.4$ TeV, $m_{\tilde{\chi}_{1}^{0}} = 100$ GeV and $\tau_{\tilde{g}} = 1$ ns that satisfy all signal region event selection criteria.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Number of DV tracks','DV mass [GeV]','Number of observed vertices'
20.0,37.7167,0.0922044
20.0,46.9647,0.368818
20.0,58.6072,0.461022
20.0,73.2643,0.461022
20.0,90.7164,0.737636
21.0,30.3708,0.184409
21.0,37.7167,0.184409
21.0,46.9647,0.0922044
21.0,58.6072,0.184409
21.0,73.2643,0.184409
21.0,90.7164,0.184409
22.0,46.9647,0.184409
22.0,58.6072,0.461022
22.0,73.2643,0.553227
22.0,90.7164,0.368818
23.0,30.3708,0.184409
23.0,58.6072,0.0922044
23.0,73.2643,0.461022
23.0,90.7164,0.276613
24.0,46.9647,0.0922044
24.0,58.6072,0.0922044
24.0,73.2643,0.184409
24.0,90.7164,0.645431
25.0,58.6072,0.184409
25.0,73.2643,0.276613
25.0,90.7164,0.0922044
26.0,46.9647,0.184409
26.0,58.6072,0.184409
26.0,73.2643,0.184409
27.0,58.6072,0.184409
27.0,73.2643,0.0922044
27.0,90.7164,0.184409
28.0,58.6072,0.0922044
28.0,73.2643,0.184409
29.0,73.2643,0.184409
30.0,90.7164,0.0922044
31.0,73.2643,0.0922044
31.0,90.7164,0.0922044
32.0,90.7164,0.184409
34.0,90.7164,0.0922044

