# mN2_GeV, mN1_GeV,   tau_ns,    Eff,       EffErr
1.4500e+03,1.4500e+03,1.6000e+01,5.2640e-02,6.1600e-04
1.4500e+03,1.4400e+03,1.6000e+01,5.2240e-02,6.1220e-04
1.4500e+03,1.4500e+03,3.0000e+01,2.8560e-02,4.4400e-04
2.5000e+02,2.4000e+02,2.6000e+00,7.7100e-05,1.7040e-05
1.4500e+03,1.4400e+03,3.0000e+01,2.8300e-02,4.4220e-04
1.4500e+03,1.4500e+03,5.5000e+01,1.6360e-02,3.3540e-04
1.4500e+03,1.4400e+03,5.5000e+01,1.5970e-02,3.3140e-04
1.4500e+03,1.4500e+03,1.0000e+02,9.3220e-03,2.5380e-04
1.4500e+03,1.4400e+03,1.0000e+02,8.9380e-03,2.4520e-04
1.6500e+03,1.6500e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6400e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6500e+03,1.8000e-03,8.7500e-05,3.3070e-05
1.6500e+03,1.6400e+03,1.8000e-03,5.0030e-05,2.5020e-05
1.6500e+03,1.6500e+03,3.4000e-03,3.7170e-03,2.1530e-04
1.6500e+03,1.6400e+03,3.4000e-03,3.6110e-03,2.1210e-04
1.6500e+03,1.6500e+03,6.2000e-03,3.2870e-02,6.4000e-04
1.6500e+03,1.6400e+03,6.2000e-03,3.2380e-02,6.3500e-04
1.6500e+03,1.6500e+03,1.1000e-02,1.2820e-01,1.2640e-03
1.6500e+03,1.6400e+03,1.1000e-02,1.2490e-01,1.2480e-03
2.5000e+02,2.5000e+02,4.8000e+00,4.2830e-05,1.4560e-05
1.6500e+03,1.6500e+03,2.1000e-02,3.1900e-01,1.9970e-03
1.6500e+03,1.6400e+03,2.1000e-02,3.1830e-01,1.9950e-03
1.6500e+03,1.6500e+03,3.8000e-02,5.1280e-01,2.5320e-03
1.6500e+03,1.6400e+03,3.8000e-02,5.1350e-01,2.5340e-03
1.6500e+03,1.6500e+03,7.0000e-02,6.5120e-01,2.8420e-03
2.5000e+02,2.4000e+02,4.8000e+00,3.5690e-05,1.1500e-05
1.6500e+03,1.6400e+03,7.0000e-02,6.5210e-01,2.8440e-03
1.6500e+03,1.6500e+03,1.3000e-01,7.0480e-01,2.9210e-03
1.6500e+03,1.6400e+03,1.3000e-01,7.0270e-01,2.9150e-03
1.6500e+03,1.6500e+03,2.3000e-01,6.8590e-01,2.8220e-03
1.6500e+03,1.6400e+03,2.3000e-01,6.8430e-01,2.8170e-03
1.6500e+03,1.6500e+03,4.3000e-01,6.1650e-01,2.5880e-03
1.6500e+03,1.6400e+03,4.3000e-01,6.1710e-01,2.5900e-03
1.6500e+03,1.6500e+03,7.8000e-01,5.1460e-01,2.2740e-03
1.6500e+03,1.6400e+03,7.8000e-01,5.1430e-01,2.2730e-03
1.6500e+03,1.6500e+03,1.4000e+00,3.9660e-01,1.9170e-03
1.6500e+03,1.6400e+03,1.4000e+00,3.9490e-01,1.9130e-03
1.6500e+03,1.6500e+03,2.6000e+00,2.7350e-01,1.5300e-03
1.6500e+03,1.6400e+03,2.6000e+00,2.7150e-01,1.5210e-03
1.6500e+03,1.6500e+03,4.8000e+00,1.7210e-01,1.1750e-03
1.6500e+03,1.6400e+03,4.8000e+00,1.7150e-01,1.1680e-03
2.5000e+02,2.5000e+02,8.9000e+00,2.3310e-05,1.1380e-05
