#Efficiencies for the High PT SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
5.0000e+01,2.9000e+03,1.6132e-16,4.0800e+00,1.7900e-03,1.3960e-04
5.0000e+01,7.5000e+02,2.0829e-13,3.1600e-03,9.3550e-02,1.3590e-03
5.0000e+01,2.9000e+03,6.5820e-17,1.0000e+01,7.3480e-04,8.5060e-05
2.5000e+02,5.0000e+02,2.0829e-13,3.1600e-03,1.0060e-02,5.7160e-04
2.5000e+02,5.0000e+02,8.5039e-14,7.7400e-03,3.9700e-02,1.1370e-03
2.5000e+02,5.0000e+02,3.4642e-14,1.9000e-02,7.3170e-02,1.5460e-03
2.5000e+02,5.0000e+02,1.4185e-14,4.6400e-02,8.3510e-02,1.6350e-03
2.5000e+02,5.0000e+02,5.7737e-15,1.1400e-01,7.6270e-02,1.4980e-03
2.5000e+02,5.0000e+02,2.3676e-15,2.7800e-01,5.7860e-02,1.2210e-03
2.5000e+02,5.0000e+02,9.6652e-16,6.8100e-01,3.6310e-02,9.1150e-04
2.5000e+02,5.0000e+02,3.9413e-16,1.6700e+00,1.8420e-02,6.0990e-04
2.5000e+02,5.0000e+02,1.6132e-16,4.0800e+00,7.6130e-03,3.7290e-04
5.0000e+01,7.5000e+02,8.5039e-14,7.7400e-03,1.3090e-01,1.6330e-03
2.5000e+02,5.0000e+02,6.5820e-17,1.0000e+01,2.4830e-03,2.0090e-04
2.5000e+02,7.5000e+02,2.0829e-13,3.1600e-03,3.8800e-02,1.1260e-03
2.5000e+02,7.5000e+02,8.5039e-14,7.7400e-03,1.5440e-01,2.2570e-03
2.5000e+02,7.5000e+02,3.4642e-14,1.9000e-02,2.8200e-01,3.0650e-03
2.5000e+02,7.5000e+02,1.4185e-14,4.6400e-02,3.3190e-01,3.2970e-03
2.5000e+02,7.5000e+02,5.7737e-15,1.1400e-01,3.0720e-01,3.0650e-03
2.5000e+02,7.5000e+02,2.3676e-15,2.7800e-01,2.3540e-01,2.5200e-03
2.5000e+02,7.5000e+02,9.6652e-16,6.8100e-01,1.5000e-01,1.8770e-03
2.5000e+02,7.5000e+02,3.9413e-16,1.6700e+00,7.4610e-02,1.2400e-03
2.5000e+02,7.5000e+02,1.6132e-16,4.0800e+00,3.0910e-02,7.4590e-04
5.0000e+01,7.5000e+02,3.4642e-14,1.9000e-02,1.3110e-01,1.5810e-03
2.5000e+02,7.5000e+02,6.5820e-17,1.0000e+01,1.1400e-02,4.3080e-04
2.5000e+02,1.0000e+03,2.0829e-13,3.1600e-03,8.1770e-02,1.6380e-03
2.5000e+02,1.0000e+03,8.5039e-14,7.7400e-03,2.8680e-01,3.0820e-03
2.5000e+02,1.0000e+03,3.4642e-14,1.9000e-02,4.7010e-01,3.9580e-03
2.5000e+02,1.0000e+03,1.4185e-14,4.6400e-02,5.1620e-01,4.0910e-03
2.5000e+02,1.0000e+03,5.7737e-15,1.1400e-01,4.6750e-01,3.7400e-03
2.5000e+02,1.0000e+03,2.3676e-15,2.7800e-01,3.5260e-01,3.0530e-03
2.5000e+02,1.0000e+03,9.6652e-16,6.8100e-01,2.1640e-01,2.2350e-03
2.5000e+02,1.0000e+03,3.9413e-16,1.6700e+00,1.0750e-01,1.4690e-03
2.5000e+02,1.0000e+03,1.6132e-16,4.0800e+00,4.7840e-02,9.3130e-04
5.0000e+01,7.5000e+02,1.4185e-14,4.6400e-02,1.0570e-01,1.3370e-03
2.5000e+02,1.0000e+03,6.5820e-17,1.0000e+01,1.9740e-02,5.7950e-04
2.5000e+02,1.2500e+03,2.0829e-13,3.1600e-03,1.2780e-01,2.0610e-03
2.5000e+02,1.2500e+03,8.5039e-14,7.7400e-03,3.8230e-01,3.5840e-03
2.5000e+02,1.2500e+03,3.4642e-14,1.9000e-02,5.7860e-01,4.4160e-03
2.5000e+02,1.2500e+03,1.4185e-14,4.6400e-02,6.1130e-01,4.4610e-03
2.5000e+02,1.2500e+03,5.7737e-15,1.1400e-01,5.3810e-01,4.0040e-03
2.5000e+02,1.2500e+03,2.3676e-15,2.7800e-01,3.9310e-01,3.2070e-03
2.5000e+02,1.2500e+03,9.6652e-16,6.8100e-01,2.3500e-01,2.3130e-03
2.5000e+02,1.2500e+03,3.9413e-16,1.6700e+00,1.1500e-01,1.5220e-03
2.5000e+02,1.2500e+03,1.6132e-16,4.0800e+00,5.1200e-02,9.7910e-04
5.0000e+01,7.5000e+02,5.7737e-15,1.1400e-01,6.8990e-02,9.9050e-04
2.5000e+02,1.2500e+03,6.5820e-17,1.0000e+01,2.1740e-02,6.2170e-04
2.5000e+02,1.5000e+03,2.0829e-13,3.1600e-03,1.7390e-01,2.4180e-03
2.5000e+02,1.5000e+03,8.5039e-14,7.7400e-03,4.5660e-01,3.9420e-03
2.5000e+02,1.5000e+03,3.4642e-14,1.9000e-02,6.3300e-01,4.6400e-03
2.5000e+02,1.5000e+03,1.4185e-14,4.6400e-02,6.4560e-01,4.5840e-03
2.5000e+02,1.5000e+03,5.7737e-15,1.1400e-01,5.5440e-01,4.0470e-03
2.5000e+02,1.5000e+03,2.3676e-15,2.7800e-01,3.9730e-01,3.2100e-03
2.5000e+02,1.5000e+03,9.6652e-16,6.8100e-01,2.3190e-01,2.3010e-03
2.5000e+02,1.5000e+03,3.9413e-16,1.6700e+00,1.1480e-01,1.5340e-03
2.5000e+02,1.5000e+03,1.6132e-16,4.0800e+00,4.9840e-02,9.6460e-04
5.0000e+01,7.5000e+02,2.3676e-15,2.7800e-01,3.6830e-02,6.6400e-04
2.5000e+02,1.5000e+03,6.5820e-17,1.0000e+01,2.0370e-02,5.9020e-04
2.5000e+02,1.7000e+03,2.0829e-13,3.1600e-03,2.0690e-01,2.6460e-03
2.5000e+02,1.7000e+03,8.5039e-14,7.7400e-03,4.8960e-01,4.0980e-03
2.5000e+02,1.7000e+03,3.4642e-14,1.9000e-02,6.5600e-01,4.7330e-03
2.5000e+02,1.7000e+03,1.4185e-14,4.6400e-02,6.5930e-01,4.6320e-03
2.5000e+02,1.7000e+03,5.7737e-15,1.1400e-01,5.5700e-01,4.0520e-03
2.5000e+02,1.7000e+03,2.3676e-15,2.7800e-01,3.9310e-01,3.1930e-03
2.5000e+02,1.7000e+03,9.6652e-16,6.8100e-01,2.2500e-01,2.2610e-03
2.5000e+02,1.7000e+03,3.9413e-16,1.6700e+00,1.0710e-01,1.4710e-03
2.5000e+02,1.7000e+03,1.6132e-16,4.0800e+00,4.6800e-02,9.3090e-04
5.0000e+01,7.5000e+02,9.6652e-16,6.8100e-01,1.5830e-02,4.0330e-04
2.5000e+02,1.7000e+03,6.5820e-17,1.0000e+01,1.9580e-02,5.9580e-04
2.5000e+02,1.9000e+03,2.0829e-13,3.1600e-03,2.3190e-01,2.8090e-03
2.5000e+02,1.9000e+03,8.5039e-14,7.7400e-03,5.1680e-01,4.2160e-03
2.5000e+02,1.9000e+03,3.4642e-14,1.9000e-02,6.6170e-01,4.7560e-03
2.5000e+02,1.9000e+03,1.4185e-14,4.6400e-02,6.5370e-01,4.6090e-03
2.5000e+02,1.9000e+03,5.7737e-15,1.1400e-01,5.4450e-01,3.9930e-03
2.5000e+02,1.9000e+03,2.3676e-15,2.7800e-01,3.7310e-01,3.0820e-03
2.5000e+02,1.9000e+03,9.6652e-16,6.8100e-01,2.0760e-01,2.1470e-03
2.5000e+02,1.9000e+03,3.9413e-16,1.6700e+00,1.0050e-01,1.4340e-03
2.5000e+02,1.9000e+03,1.6132e-16,4.0800e+00,4.4540e-02,9.3520e-04
5.0000e+01,7.5000e+02,3.9413e-16,1.6700e+00,6.4050e-03,2.4700e-04
2.5000e+02,1.9000e+03,6.5820e-17,1.0000e+01,1.8990e-02,5.9650e-04
2.5000e+02,2.1000e+03,2.0829e-13,3.1600e-03,2.5520e-01,2.9520e-03
2.5000e+02,2.1000e+03,8.5039e-14,7.7400e-03,5.2480e-01,4.2540e-03
2.5000e+02,2.1000e+03,3.4642e-14,1.9000e-02,6.5390e-01,4.7230e-03
2.5000e+02,2.1000e+03,1.4185e-14,4.6400e-02,6.3510e-01,4.5320e-03
2.5000e+02,2.1000e+03,5.7737e-15,1.1400e-01,5.1890e-01,3.8800e-03
2.5000e+02,2.1000e+03,2.3676e-15,2.7800e-01,3.5130e-01,2.9820e-03
2.5000e+02,2.1000e+03,9.6652e-16,6.8100e-01,1.9480e-01,2.0800e-03
2.5000e+02,2.1000e+03,3.9413e-16,1.6700e+00,9.1930e-02,1.3620e-03
2.5000e+02,2.1000e+03,1.6132e-16,4.0800e+00,4.0190e-02,8.8280e-04
5.0000e+01,7.5000e+02,1.6132e-16,4.0800e+00,2.3740e-03,1.4350e-04
2.5000e+02,2.1000e+03,6.5820e-17,1.0000e+01,1.7610e-02,5.8240e-04
2.5000e+02,2.3000e+03,2.0829e-13,3.1600e-03,2.5160e-01,2.9350e-03
2.5000e+02,2.3000e+03,8.5039e-14,7.7400e-03,5.0820e-01,4.1960e-03
2.5000e+02,2.3000e+03,3.4642e-14,1.9000e-02,6.1630e-01,4.5920e-03
2.5000e+02,2.3000e+03,1.4185e-14,4.6400e-02,5.8890e-01,4.3530e-03
2.5000e+02,2.3000e+03,5.7737e-15,1.1400e-01,4.7660e-01,3.7120e-03
2.5000e+02,2.3000e+03,2.3676e-15,2.7800e-01,3.1890e-01,2.8390e-03
2.5000e+02,2.3000e+03,9.6652e-16,6.8100e-01,1.7340e-01,1.9560e-03
2.5000e+02,2.3000e+03,3.9413e-16,1.6700e+00,8.1640e-02,1.2890e-03
2.5000e+02,2.3000e+03,1.6132e-16,4.0800e+00,3.6180e-02,8.4000e-04
5.0000e+01,7.5000e+02,6.5820e-17,1.0000e+01,9.9470e-04,9.1320e-05
2.5000e+02,2.3000e+03,6.5820e-17,1.0000e+01,1.4720e-02,5.2510e-04
2.5000e+02,2.5000e+03,2.0829e-13,3.1600e-03,2.2900e-01,2.8020e-03
2.5000e+02,2.5000e+03,8.5039e-14,7.7400e-03,4.4440e-01,3.9290e-03
