#Efficiencies for the Trackless SR obtained with recasting for the EWK model:
# (pp > N1N2) using a higgsino scenario.
  mN2_GeV,   mN1_GeV, width_GeV, tau_ns,     Eff,       EffErr
1.2500e+03,1.2500e+03,8.4385e-16,7.8000e-01,1.0250e-01,6.2680e-04
1.2500e+03,1.2400e+03,8.4385e-16,7.8000e-01,1.0350e-01,6.3050e-04
1.2500e+03,1.2500e+03,4.7014e-16,1.4000e+00,7.9830e-02,5.3570e-04
1.2500e+03,1.2400e+03,4.7014e-16,1.4000e+00,8.0190e-02,5.3590e-04
1.2500e+03,1.2500e+03,2.5315e-16,2.6000e+00,5.5990e-02,4.3270e-04
1.2500e+03,1.2400e+03,2.5315e-16,2.6000e+00,5.6470e-02,4.3490e-04
1.2500e+03,1.2500e+03,1.3713e-16,4.8000e+00,3.6750e-02,3.4020e-04
1.2500e+03,1.2400e+03,1.3713e-16,4.8000e+00,3.6970e-02,3.4270e-04
2.5000e+02,2.5000e+02,8.4385e-16,7.8000e-01,1.0630e-02,2.7440e-04
1.2500e+03,1.2500e+03,7.3955e-17,8.9000e+00,2.2780e-02,2.5990e-04
1.2500e+03,1.2400e+03,7.3955e-17,8.9000e+00,2.2660e-02,2.6060e-04
1.2500e+03,1.2500e+03,4.1138e-17,1.6000e+01,1.3570e-02,1.9620e-04
1.2500e+03,1.2400e+03,4.1138e-17,1.6000e+01,1.3700e-02,1.9790e-04
1.2500e+03,1.2500e+03,2.1940e-17,3.0000e+01,7.3730e-03,1.3990e-04
2.5000e+02,2.4000e+02,8.4385e-16,7.8000e-01,9.6490e-03,2.6150e-04
1.2500e+03,1.2400e+03,2.1940e-17,3.0000e+01,7.2210e-03,1.3860e-04
1.2500e+03,1.2500e+03,1.1967e-17,5.5000e+01,4.1160e-03,1.0300e-04
1.2500e+03,1.2400e+03,1.1967e-17,5.5000e+01,4.0100e-03,1.0070e-04
1.2500e+03,1.2500e+03,6.5820e-18,1.0000e+02,2.2590e-03,7.2790e-05
1.2500e+03,1.2400e+03,6.5820e-18,1.0000e+02,2.2250e-03,7.3130e-05
1.4500e+03,1.4500e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.4500e+03,1.4400e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.4500e+03,1.4500e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.4500e+03,1.4400e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.4500e+03,1.4500e+03,1.9359e-13,3.4000e-03,1.9670e-05,5.9320e-06
1.4500e+03,1.4400e+03,1.9359e-13,3.4000e-03,1.8360e-05,6.0940e-06
1.4500e+03,1.4500e+03,1.0616e-13,6.2000e-03,4.6640e-04,3.5440e-05
1.4500e+03,1.4400e+03,1.0616e-13,6.2000e-03,5.2420e-04,3.9380e-05
1.4500e+03,1.4500e+03,5.9836e-14,1.1000e-02,3.6490e-03,1.0600e-04
1.4500e+03,1.4400e+03,5.9836e-14,1.1000e-02,3.6450e-03,1.0570e-04
2.5000e+02,2.5000e+02,4.7014e-16,1.4000e+00,6.3450e-03,2.0570e-04
