#Efficiencies for the Trackless SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
2.5000e+02,2.5000e+03,5.7737e-15,1.1400e-01,5.1520e-04,6.4120e-05
2.5000e+02,2.5000e+03,2.3676e-15,2.7800e-01,3.7360e-04,5.0830e-05
2.5000e+02,2.5000e+03,9.6652e-16,6.8100e-01,1.9320e-04,3.7160e-05
2.5000e+02,2.5000e+03,3.9413e-16,1.6700e+00,1.2660e-04,2.8420e-05
2.5000e+02,2.5000e+03,1.6132e-16,4.0800e+00,4.5690e-05,1.5230e-05
5.0000e+01,1.0000e+03,2.0829e-13,3.1600e-03,8.0100e-02,8.4180e-04
2.5000e+02,2.5000e+03,6.5820e-17,1.0000e+01,9.4210e-06,4.9720e-06
2.5000e+02,2.7000e+03,2.0829e-13,3.1600e-03,7.1070e-05,2.1500e-05
2.5000e+02,2.7000e+03,8.5039e-14,7.7400e-03,2.2820e-04,4.4750e-05
2.5000e+02,2.7000e+03,3.4642e-14,1.9000e-02,3.7300e-04,5.8350e-05
2.5000e+02,2.7000e+03,1.4185e-14,4.6400e-02,3.9970e-04,5.7610e-05
2.5000e+02,2.7000e+03,5.7737e-15,1.1400e-01,2.8610e-04,4.7690e-05
2.5000e+02,2.7000e+03,2.3676e-15,2.7800e-01,2.2440e-04,4.2770e-05
2.5000e+02,2.7000e+03,9.6652e-16,6.8100e-01,1.1410e-04,2.7930e-05
2.5000e+02,2.7000e+03,3.9413e-16,1.6700e+00,6.0650e-05,1.9790e-05
2.5000e+02,2.7000e+03,1.6132e-16,4.0800e+00,2.0770e-05,9.4770e-06
5.0000e+01,1.0000e+03,8.5039e-14,7.7400e-03,1.1000e-01,1.0100e-03
2.5000e+02,2.7000e+03,6.5820e-17,1.0000e+01,1.6890e-05,1.1810e-05
2.5000e+02,2.9000e+03,2.0829e-13,3.1600e-03,4.8630e-06,4.8630e-06
2.5000e+02,2.9000e+03,8.5039e-14,7.7400e-03,8.6120e-05,2.7050e-05
2.5000e+02,2.9000e+03,3.4642e-14,1.9000e-02,1.6460e-04,3.6360e-05
2.5000e+02,2.9000e+03,1.4185e-14,4.6400e-02,1.5010e-04,3.4120e-05
2.5000e+02,2.9000e+03,5.7737e-15,1.1400e-01,1.3250e-04,3.1060e-05
2.5000e+02,2.9000e+03,2.3676e-15,2.7800e-01,8.9370e-05,2.1180e-05
2.5000e+02,2.9000e+03,9.6652e-16,6.8100e-01,5.5540e-05,1.6300e-05
2.5000e+02,2.9000e+03,3.9413e-16,1.6700e+00,4.1980e-05,1.6820e-05
2.5000e+02,2.9000e+03,1.6132e-16,4.0800e+00,2.4100e-05,1.3340e-05
5.0000e+01,1.0000e+03,3.4642e-14,1.9000e-02,1.1030e-01,9.9470e-04
2.5000e+02,2.9000e+03,6.5820e-17,1.0000e+01,2.5690e-06,2.2050e-06
4.5000e+02,5.0000e+02,2.0829e-13,3.1600e-03,5.2000e-03,3.4170e-04
4.5000e+02,5.0000e+02,8.5039e-14,7.7400e-03,5.5820e-02,1.1900e-03
4.5000e+02,5.0000e+02,3.4642e-14,1.9000e-02,1.8000e-01,2.2210e-03
4.5000e+02,5.0000e+02,1.4185e-14,4.6400e-02,2.8440e-01,2.8410e-03
4.5000e+02,5.0000e+02,5.7737e-15,1.1400e-01,3.0940e-01,2.9400e-03
4.5000e+02,5.0000e+02,2.3676e-15,2.7800e-01,2.7350e-01,2.6760e-03
4.5000e+02,5.0000e+02,9.6652e-16,6.8100e-01,1.9630e-01,2.1510e-03
4.5000e+02,5.0000e+02,3.9413e-16,1.6700e+00,1.1210e-01,1.5330e-03
4.5000e+02,5.0000e+02,1.6132e-16,4.0800e+00,4.9930e-02,9.7660e-04
5.0000e+01,1.0000e+03,1.4185e-14,4.6400e-02,8.7150e-02,8.3350e-04
4.5000e+02,5.0000e+02,6.5820e-17,1.0000e+01,1.6980e-02,5.4140e-04
4.5000e+02,7.5000e+02,2.0829e-13,3.1600e-03,4.8110e-03,2.8820e-04
4.5000e+02,7.5000e+02,8.5039e-14,7.7400e-03,6.5650e-02,1.1550e-03
4.5000e+02,7.5000e+02,3.4642e-14,1.9000e-02,2.2470e-01,2.2340e-03
4.5000e+02,7.5000e+02,1.4185e-14,4.6400e-02,3.7010e-01,2.9300e-03
4.5000e+02,7.5000e+02,5.7737e-15,1.1400e-01,4.0990e-01,3.0710e-03
4.5000e+02,7.5000e+02,2.3676e-15,2.7800e-01,3.6500e-01,2.8040e-03
4.5000e+02,7.5000e+02,9.6652e-16,6.8100e-01,2.6990e-01,2.2930e-03
