 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   199.716     199.544         10.000      2375.201      6.1000e-02      2.0306e-02      1.2387e-03      7.3853e-04    1.754e+00     2.979e+02       6.33e+01    7.97e+00    4976161 
   299.822     299.650         0.010      492.699      7.7246e-02      1.4453e-07      1.1164e-08      8.0376e-09    3.960e-06     2.737e+07       1.43e-04    1.80e-05    23 
   299.822     299.650         0.015      492.699      7.7246e-02      4.2528e-06      3.2851e-07      2.4939e-07    1.229e-04     8.822e+05       4.44e-03    5.59e-04    346 
   299.822     299.650         0.020      492.699      7.7246e-02      2.1838e-05      1.6869e-06      1.2681e-06    6.248e-04     1.735e+05       2.26e-02    2.84e-03    1622 
   299.822     299.650         0.025      492.699      7.7246e-02      7.0103e-05      5.4152e-06      4.1619e-06    2.051e-03     5.286e+04       7.40e-02    9.32e-03    4656 
   299.822     299.650         0.030      492.699      7.7246e-02      1.6658e-04      1.2867e-05      9.8752e-06    4.865e-03     2.228e+04       1.76e-01    2.21e-02    10398 
   299.822     299.650         0.040      492.699      7.7246e-02      6.0738e-04      4.6918e-05      3.5952e-05    1.771e-02     6.119e+03       6.39e-01    8.05e-02    33242 
   299.822     299.650         0.050      492.699      7.7246e-02      1.4148e-03      1.0929e-04      8.3721e-05    4.125e-02     2.628e+03       1.49e+00    1.88e-01    72462 
   299.822     299.650         0.060      492.699      7.7246e-02      2.6498e-03      2.0469e-04      1.5665e-04    7.718e-02     1.404e+03       2.79e+00    3.51e-01    128943 
   299.822     299.650         0.070      492.699      7.7246e-02      4.3102e-03      3.3295e-04      2.5434e-04    1.253e-01     8.650e+02       4.52e+00    5.70e-01    201638 
   299.822     299.650         0.080      492.699      7.7246e-02      6.3382e-03      4.8960e-04      3.7361e-04    1.841e-01     5.888e+02       6.65e+00    8.37e-01    288300 
   299.822     299.650         0.090      492.699      7.7246e-02      8.5905e-03      6.6358e-04      5.0562e-04    2.491e-01     4.351e+02       8.99e+00    1.13e+00    384337 
   299.822     299.650         0.100      492.699      7.7246e-02      1.1133e-02      8.5999e-04      6.5479e-04    3.226e-01     3.360e+02       1.16e+01    1.47e+00    489580 
   299.822     299.650         0.150      492.699      7.7246e-02      2.5703e-02      1.9854e-03      1.5069e-03    7.425e-01     1.460e+02       2.68e+01    3.38e+00    1089632 
