 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   300.000     299.843         4.000      145.796      1.4851e-01      4.8988e-02      7.2750e-03      2.6749e-03    3.900e-01     8.225e+01       1.41e+01    1.77e+00    6312436 
   300.000     299.843         5.000      145.796      1.4851e-01      4.1761e-02      6.2018e-03      2.2641e-03    3.301e-01     9.717e+01       1.19e+01    1.50e+00    6338730 
   300.000     299.843         6.000      145.796      1.4851e-01      3.6349e-02      5.3981e-03      1.9598e-03    2.857e-01     1.123e+02       1.03e+01    1.30e+00    6351107 
   300.000     299.843         7.000      145.796      1.4851e-01      3.2214e-02      4.7840e-03      1.7309e-03    2.524e-01     1.271e+02       9.11e+00    1.15e+00    6356284 
   300.000     299.843         8.000      145.796      1.4851e-01      2.8893e-02      4.2908e-03      1.5470e-03    2.255e-01     1.422e+02       8.14e+00    1.02e+00    6359313 
   300.000     299.843         9.000      145.796      1.4851e-01      2.6226e-02      3.8947e-03      1.4000e-03    2.041e-01     1.571e+02       7.37e+00    9.28e-01    6360900 
   300.000     299.843         10.000      145.796      1.4851e-01      2.3992e-02      3.5630e-03      1.2781e-03    1.863e-01     1.721e+02       6.73e+00    8.47e-01    6359457 
   400.000     399.843         0.010      43.692      2.1997e-01      8.5087e-08      1.8717e-08      7.1372e-09    3.118e-07     3.082e+07       1.13e-05    1.42e-06    15 
   400.000     399.843         0.015      43.692      2.1997e-01      1.0820e-06      2.3802e-07      8.8505e-08    3.867e-06     2.486e+06       1.40e-04    1.76e-05    162 
   400.000     399.843         0.020      43.692      2.1997e-01      7.7035e-06      1.6945e-06      6.1187e-07    2.673e-05     3.596e+05       9.65e-04    1.21e-04    1032 
   400.000     399.843         0.025      43.692      2.1997e-01      3.0016e-05      6.6027e-06      2.3848e-06    1.042e-04     9.225e+04       3.76e-03    4.74e-04    3481 
   400.000     399.843         0.030      43.692      2.1997e-01      7.9874e-05      1.7570e-05      6.2217e-06    2.718e-04     3.536e+04       9.81e-03    1.24e-03    8573 
   400.000     399.843         0.040      43.692      2.1997e-01      3.3159e-04      7.2939e-05      2.5545e-05    1.116e-03     8.612e+03       4.03e-02    5.07e-03    30839 
   400.000     399.843         0.050      43.692      2.1997e-01      8.5219e-04      1.8746e-04      6.5028e-05    2.841e-03     3.383e+03       1.03e-01    1.29e-02    72660 
   400.000     399.843         0.060      43.692      2.1997e-01      1.7111e-03      3.7638e-04      1.2956e-04    5.661e-03     1.698e+03       2.04e-01    2.57e-02    137255 
   400.000     399.843         0.070      43.692      2.1997e-01      2.9088e-03      6.3985e-04      2.1954e-04    9.592e-03     1.002e+03       3.46e-01    4.36e-02    222603 
   400.000     399.843         0.080      43.692      2.1997e-01      4.4576e-03      9.8054e-04      3.3543e-04    1.466e-02     6.559e+02       5.29e-01    6.66e-02    328078 
